AssignmentType__c,Id,Name,Quantity__c,Type__c,UserType__c,Weight__c
Named,a006t00000CnvSWAAZ,Communications Cloud Advanced - Sales & Service - EE (Restricted Use),3500,Base,Internal,90
Named,a006t00000CnqMfAAJ,Communications Cloud Advanced - Sales & Service - Enterprise Edition,6838,Base,Internal,100
,a006t00000CnwkGAAR,Contract Lifecycle Management for Communications Cloud - EE,10338,Add-on,,
Named,a006t00000CnwjwAAB,Communications Cloud Growth - Sales & Service - Enterprise Edition,1487,Base,Internal,80
Login,a006t00000CnwkpAAB,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,4000000,Base,External,
,a006t00000CnwkkAAB,CRM Analytics for Communications Cloud - Enterprise Edition,187,Add-on,,
Named,a006t00000Cnwk1AAB,Partner Community for Communications Cloud Advanced - EE - Members,4940,Base,External,70
